Name: 广东珠江, URL: https://skype.serv00.net/itouch.php?id=gdzj$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 翡翠台, URL: http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 凤凰中文, URL: http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 凤凰资讯, URL: http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: 凤凰资讯, URL: http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: 凤凰资讯, URL: http://61.221.215.25:8800/hls/47/index.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: TVBS亚洲, URL: http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
Name: TVBS亚洲, URL: http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 450 ms
